Level 1	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Unclassified	A0A139PTC3	Pyruvate kinase OS=Streptococcus mitis OX=28037 GN=SMIDD26_00804 PE=3 SV=1	root (No rank) [1]	0.101796	54.763	5.038566589355469	3	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	K8MMW9	Pyruvate kinase OS=Streptococcus sp. F0442 OX=999425 GN=HMPREF9186_02059 PE=3 SV=1	root (No rank) [1]	0.101796	54.804	5.039421081542969	3	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A139PYW3	Pyruvate kinase OS=Streptococcus oralis OX=1303 GN=SORDD27_00567 PE=3 SV=1	root (No rank) [1]	0.101796	54.804	5.034721374511719	3	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A139R1W5	Pyruvate kinase OS=Streptococcus oralis OX=1303 GN=SORDD25_00066 PE=3 SV=1	root (No rank) [1]	0.101796	54.735	4.981956481933594	3	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A139N2C6	Pyruvate kinase OS=Streptococcus cristatus OX=45634 GN=SCRDD08_00852 PE=3 SV=1	root (No rank) [1]	0.101796	54.775	5.072425842285156	3	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A1X1IAF2	Pyruvate kinase OS=Streptococcus oralis subsp. oralis OX=1891914 GN=B7710_10035 PE=3 SV=1	root (No rank) [1]	0.101796	54.762	5.021369934082031	3	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0F2CS71	Pyruvate kinase OS=Streptococcus cristatus OX=45634 GN=pykF PE=3 SV=1	root (No rank) [1]	0.101796	54.806	4.998832702636719	3	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0F2D8Y2	Pyruvate kinase OS=Streptococcus oralis subsp. oralis OX=1891914 GN=pykF PE=3 SV=1	root (No rank) [1]	0.101796	54.777	5.017417907714844	3	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A139RKQ5	Pyruvate kinase OS=Streptococcus oralis OX=1303 GN=SORDD17_01178 PE=3 SV=1	root (No rank) [1]	0.101796	54.778	4.994132995605469	3	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A178KIS8	Pyruvate kinase OS=Streptococcus sp. CCUG 49591 OX=1860161 GN=A3Q39_00340 PE=3 SV=1	root (No rank) [1]	0.101796	54.677	5.138755798339844	3	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
