Level 1	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Unclassified	E8KLM2	Elongation factor G OS=Streptococcus sanguinis VMC66 OX=888825 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.721	4.864997863769531	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A1G9NR69	Elongation factor G OS=Streptococcus equinus OX=1335 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050578	76.667	4.836372375488281	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0F2E4J2	Elongation factor G OS=Streptococcus infantis OX=68892 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.841	4.851432800292969	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0Y1YJD4	Elongation factor G OS=Streptococcus pneumoniae OX=1313 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.624	4.816825866699219	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0F2CFJ7	Elongation factor G OS=Streptococcus gordonii OX=1302 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.758	4.879310607910156	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	F2CGL3	Elongation factor G OS=Streptococcus sanguinis SK408 OX=888818 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.745	4.864997863769531	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A081QZS8	Elongation factor G OS=Streptococcus mitis OX=28037 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.76	4.866065979003906	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A095ZD13	Elongation factor G OS=Peptoniphilus lacrimalis DNF00528 OX=1401070 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.871	4.854637145996094	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0A0DLY7	Elongation factor G OS=Streptococcus sinensis OX=176090 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.735	4.861793518066406	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0E2Q0P3	Elongation factor G OS=Streptococcus thermophilus M17PTZA496 OX=1433289 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.523	4.873115539550781	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A139N4B2	Elongation factor G OS=Streptococcus gordonii OX=1302 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.766	4.882514953613281	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A139N453	Elongation factor G OS=Streptococcus cristatus OX=45634 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050578	76.743	4.890953063964844	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0F2CYF2	Elongation factor G OS=Streptococcus oralis subsp. oralis OX=1891914 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.785	4.839469909667969	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A1H9U845	Elongation factor G OS=Streptococcus gallolyticus OX=315405 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050578	76.72	4.838081359863281	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0C1K4Z0	Elongation factor G OS=Streptococcus constellatus OX=76860 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.793	4.845878601074219	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2K3PYG6	Elongation factor G OS=Streptococcus parauberis OX=1348 GN=fus PE=4 SV=1	root (No rank) [1]	0.050578	76.512	4.813835144042969	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0T8EIR2	Elongation factor G OS=Streptococcus pneumoniae OX=1313 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.727	4.858375549316406	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A081JFK4	Elongation factor G OS=Streptococcus macedonicus OX=59310 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050578	76.691	4.875144958496094	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A1V0H0W8	Elongation factor G OS=Streptococcus gordonii OX=1302 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.768	4.882514953613281	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A074IQY5	Elongation factor G OS=Streptococcus salivarius OX=1304 GN=fusA PE=3 SV=1	root (No rank) [1]	0.050505	76.638	4.816825866699219	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
